,0,searchResult,searchResultBettingOnTerms,Instagram Followers,Twitter Followers
1,Evan Fournier,3580000,495000,181000,251500
2,Jamal Murray,9930000,1480000,967000,205900
3,Michael Porter Jr,58900000,13500000,,
4,Nikola Jokic,6310000,1080000,,
5,Nikola Vucevic,1950000,5600000,,107500
6,Paul Millsap,1750000,678000,249000,68900
7,Will Barton,115000000,6690000,,
8,Brandon Ingram,10100000,1130000,,
9,Dennis Schroder,2980000,1010000,,
10,Eric Bledsoe,2460000,5970000,,
11,Kentavious Caldwell-Pope,566000,108000,,
12,Kyle Kuzma,4120000,2350000,,
13,Markieff Morris,644000,2100000,,
14,Steven Adams,99300000,20700000,,
15,Zion Williamson,8260000,832000,,
16,Alex Len,37300000,3100000,,
17,Bradley Beal,7880000,1650000,,
18,Garrison Mathews,1330000,1230000,,
19,Julius Randle,4240000,999000,,
20,Nerlens Noel,488000,291000,,
21,Reggie Bullock,1180000,1700000,,
22,RJ Barrett,66300000,2060000,,
23,Rui Hachimura,875000,60100,,
24,Russell Westbrook,28200000,1650000,,
25,Bam Adebayo,1940000,342000,,
26,Chris Paul,1030000000,18300000,,
27,Deandre Ayton,1070000,84100,,
28,Devin Booker,7440000,6410000,,
29,Duncan Robinson,79400000,3090000,,
30,Jae Crowder,950000,975000,,
31,Jimmy Butler,51500000,5500000,,
32,Kelly Olynyk,529000,278000,,
33,Kendrick Nunn,1120000,921000,,
34,Mikal Bridges ,619000,213000,,
35,C.J. McCollum,4480000,935000,,
36,Damian Lillard,16000000,1540000,,
37,Derrick Jones Jr,20100000,9340000,,
38,Enes Kanter,2200000,410000,,
39,James Harden,53800000,7230000,,
40,Robert Covington,19400000,5960000,,
41,Andrew Wiggins,14600000,1650000,,
42,Ben Simmons,46700000,7550000,,
43,Danny Green,427000000,4330000,,
44,Draymond Green,5850000,5750000,,
45,Furkan Korkmaz,1870000,255000,,
46,Jordan Poole,22800000,4050000,,
47,Kelly Oubre Jr,1550000,2470000,,
48,Tobias Harris,24600000,4780000,,
49,Tony Bradley,61000000,8060000,,
50,James Wiseman,16900000,7140000,,
53,Kyrie Irving,27200000,1620000,,
54,DeAndre Jordan,6200000,6100000,,
55,Jeff Green,542000000,16200000,,
56,Joe Harris,413000000,4290000,,
59,Kyle Lowry,14800000,4720000,,
60,Darius Garland,1720000,701000,,
61,Chris Boucher,10300000,6210000,,
62,Collin Sexton,7580000,6720000,,
63,Fred VanVleet,3430000,397000,,
64,Isaac Okoro,745000,2060000,,
65,Jarrett Allen,8830000,6280000,,
66,Larry Nance Jr,3460000,4940000,,
67,Norman Powell,92600000,3070000,,
68,OG Anunoby,791000,139000,,
69,Pascal Siakam,2150000,5610000,,
71,Saddiq Bey,360000,231000,,
72,Wendell Carter Jr,4710000,1530000,,
73,Zach LaVine,12900000,430000,,
74,Coby White,13800000,3820000,,
75,Delon Wright,1370000,968000,,
76,Jerami Grant,1180000,5600000,,
77,Lauri Markkanen,2050000,342000,,
78,Mason Plumlee,1190000,411000,,
79,Patrick Williams,394000000,12500000,,
80,Thaddeus Young,5810000,3220000,,
81,Montrezl Harrell,1470000,4110000,,
82,Mikal Bridges,619000,213000,,
83,Luka Doncic,11100000,1410000,,
84,Josh Richardson,30600000,8190000,,
85,Carmelo Anthony,15200000,3520000,,
86,Dorian Finney-Smith,596000,1140000,,
87,Gary Trent Jr,12200000,6970000,,
88,Tim Hardaway Jr,1490000,6030000,,
89,Maxi Kleber,1980000,1920000,,
90,Kristaps Porzingis,2970000,5640000,,
91,LeBron James,97200000,17000000,,
92,Trae Young,35900000,1820000,,
93,John Collins,355000000,10900000,,
94,Clint Capela,959000,5590000,,
95,Kevin Huerter,378000,688000,,
96,Full-Time,12490000000,111000000,,
97,Ja Morant,5530000,415000,,
98,Dillon Brooks,25800000,8060000,,
99,Jonas Valanciunas,902000,4070000,,
100,Kyle Anderson,82200000,16900000,,
101,Grayson Allen,14100000,4730000,,
102,Kevon Looney,391000,290000,,
103,Giannis Antetokounmpo,14000000,1500000,,
104,Khris Middleton,1680000,3970000,,
105,DeMar DeRozan,3350000,5420000,,
106,Dejounte Murray,842000,1640000,,
107,Jrue Holiday,1640000,5530000,,
108,Derrick White,89200000,9200000,,
109,Brook Lopez,34300000,9320000,,
110,Keldon Johnson,567000,340000,,
111,Jakob Poeltl,339000,155000,,
112,R.J. Barrett,62000000,2210000,,
113,Alec Burks,696000,654000,,
114,Immanuel Quickley,609000,594000,,
115,Mitchell Robinson,105000000,18200000,,
116,Tyler Herro,1720000,2340000,,
117,Shake Milton,8650000,7090000,,
118,Tomas Satoransky,263000,82900,,
119,Zach Lavine,12900000,414000,,
120,Fred Van Vleet,3050000,389000,,
121,Malcolm Brogdon,1020000,347000,,
122,Domantas Sabonis,1780000,4800000,,
123,Caris LaVert,1450000,267000,,
124,Myles Turner,7990000,7020000,,
125,Justin Holiday,121000000,9580000,,
126,De'Aaron Fox,53300000,11000000,,
127,Buddy Hield,1510000,814000,,
128,Harrison Barnes,41100000,5750000,,
