,0,searchResult,searchResultBettingOnTerms, Instagram Followers , Twitter Followers ,
1,Evan Fournier,3580000.00,495000.00,181000.00,251500.00,
2,Jamal Murray,9930000.00,1480000.00,967000.00,205900.00,
3,Michael Porter Jr,58900000.00,13500000.00,,,
4,Nikola Jokic,6310000.00,1080000.00,,,
5,Nikola Vucevic,1950000.00,5600000.00,,107500.00,
6,Paul Millsap,1750000.00,678000.00,249000.00,68900.00,
7,Will Barton,115000000.00,6690000.00,107700.00,43500.00,
8,Brandon Ingram,10100000.00,1130000.00,2100000.00,344300.00,
9,Dennis Schroder,2980000.00,1010000.00,1700000.00,,
10,Eric Bledsoe,2460000.00,5970000.00,562000.00,238900.00,
11,Kentavious Caldwell-Pope,566000.00,108000.00,460000.00,106200.00,
12,Kyle Kuzma,4120000.00,2350000.00,5100000.00,1000000.00,
13,Markieff Morris,644000.00,2100000.00,305000.00,86000.00,
14,Steven Adams,99300000.00,20700000.00,479000.00,217700.00,
15,Zion Williamson,8260000.00,832000.00,5000000.00,475000.00,
16,Alex Len,37300000.00,3100000.00,48300.00,16300.00,
17,Bradley Beal,7880000.00,1650000.00,1300000.00,578700.00,
18,Garrison Mathews,1330000.00,1230000.00,6910.00,3014.00,
19,Julius Randle,4240000.00,999000.00,844000.00,445100.00,
20,Nerlens Noel,488000.00,291000.00,278000.00,223300.00,
21,Reggie Bullock,1180000.00,1700000.00,170000.00,90700.00,
22,RJ Barrett,66300000.00,2060000.00,1300000.00,181900.00,
23,Rui Hachimura,875000.00,60100.00,436000.00,191700.00,
24,Russell Westbrook,28200000.00,1650000.00,16000000.00,6600000.00,
25,Bam Adebayo,1940000.00,342000.00,719000.00,172500.00,
26,Chris Paul,1030000000.00,18300000.00,10000000.00,8200000.00,
27,Deandre Ayton,1070000.00,84100.00,393000.00,76300.00,
28,Devin Booker,7440000.00,6410000.00,3000000.00,834800.00,
29,Duncan Robinson,79400000.00,3090000.00,295000.00,37000.00,
30,Jae Crowder,950000.00,975000.00,438000.00,178400.00,
31,Jimmy Butler,51500000.00,5500000.00,6000000.00,760400.00,
32,Kelly Olynyk,529000.00,278000.00,179000.00,79200.00,
33,Kendrick Nunn,1120000.00,921000.00,271000.00,27400.00,
34,Mikal Bridges ,619000.00,213000.00,99400.00,26000.00,
35,C.J. McCollum,4480000.00,935000.00,1400000.00,516600.00,
