,Unnamed: 0,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,3564,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-105,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Delon Wright,1.9523809523809523,11.5,over,False,False,2021-03-21 00:00:00+00:00,0,Delon Wright,PTS,Delon Wright,PTS,8.0
1,3565,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-125,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Delon Wright,1.8,11.5,under,False,False,2021-03-21 00:00:00+00:00,1,Delon Wright,PTS,Delon Wright,PTS,8.0
2,3566,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-125,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Jerami Grant,1.8,22.5,over,False,False,2021-03-21 00:00:00+00:00,1,Jerami Grant,PTS,Jerami Grant,PTS,26.0
3,3567,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-105,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Jerami Grant,1.9523809523809523,22.5,under,False,False,2021-03-21 00:00:00+00:00,0,Jerami Grant,PTS,Jerami Grant,PTS,26.0
4,3568,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Lauri Markkanen,1.869565217391304,16.5,over,False,False,2021-03-21 00:00:00+00:00,0,Lauri Markkanen,PTS,Lauri Markkanen,PTS,16.0
5,3569,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Lauri Markkanen,1.869565217391304,16.5,under,False,False,2021-03-21 00:00:00+00:00,1,Lauri Markkanen,PTS,Lauri Markkanen,PTS,16.0
6,3570,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Mason Plumlee,1.869565217391304,10.5,over,False,False,2021-03-21 00:00:00+00:00,1,Mason Plumlee,PTS,Mason Plumlee,PTS,12.0
7,3571,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Mason Plumlee,1.869565217391304,10.5,under,False,False,2021-03-21 00:00:00+00:00,0,Mason Plumlee,PTS,Mason Plumlee,PTS,12.0
8,3576,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-120,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Thaddeus Young,1.8333333333333333,12.5,over,False,False,2021-03-21 00:00:00+00:00,0,Thaddeus Young,PTS,Thaddeus Young,PTS,8.0
9,3577,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-110,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Thaddeus Young,1.9090909090909087,12.5,under,False,False,2021-03-21 00:00:00+00:00,1,Thaddeus Young,PTS,Thaddeus Young,PTS,8.0
10,3578,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-120,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Tomas Satoransky,1.8333333333333333,9.5,over,False,False,2021-03-21 00:00:00+00:00,0,Tomas Satoransky,PTS,Tomas Satoransky,PTS,8.0
11,3579,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-110,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points - Tomas Satoransky,1.9090909090909087,9.5,under,False,False,2021-03-21 00:00:00+00:00,1,Tomas Satoransky,PTS,Tomas Satoransky,PTS,8.0
12,3582,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-120,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds - Mason Plumlee,1.8333333333333333,9.5,over,False,False,2021-03-21 00:00:00+00:00,1,Mason Plumlee,REB,Mason Plumlee,REB,10.0
13,3583,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-110,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds - Mason Plumlee,1.9090909090909087,9.5,under,False,False,2021-03-21 00:00:00+00:00,0,Mason Plumlee,REB,Mason Plumlee,REB,10.0
14,3588,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-130,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds - Thaddeus Young,1.7692307692307692,6.5,over,False,False,2021-03-21 00:00:00+00:00,1,Thaddeus Young,REB,Thaddeus Young,REB,8.0
15,3589,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,EVEN,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds - Thaddeus Young,2.0,6.5,under,False,False,2021-03-21 00:00:00+00:00,0,Thaddeus Young,REB,Thaddeus Young,REB,8.0
16,3590,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-105,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points and Rebounds - Mason Plumlee,1.9523809523809523,20.5,over,False,False,2021-03-21 00:00:00+00:00,1,Mason Plumlee,PR,Mason Plumlee,PR,22.0
17,3591,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-125,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points and Rebounds - Mason Plumlee,1.8,20.5,under,False,False,2021-03-21 00:00:00+00:00,0,Mason Plumlee,PR,Mason Plumlee,PR,22.0
18,3592,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-105,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points and Rebounds - Thaddeus Young,1.9523809523809523,20.5,over,False,False,2021-03-21 00:00:00+00:00,0,Thaddeus Young,PR,Thaddeus Young,PR,16.0
19,3593,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-125,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Points and Rebounds - Thaddeus Young,1.8,20.5,under,False,False,2021-03-21 00:00:00+00:00,1,Thaddeus Young,PR,Thaddeus Young,PR,16.0
20,3594,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-105,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds and Assists - Delon Wright,1.9523809523809523,11.5,over,False,False,2021-03-21 00:00:00+00:00,0,Delon Wright,RA,Delon Wright,RA,7.0
21,3595,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-125,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds and Assists - Delon Wright,1.8,11.5,under,False,False,2021-03-21 00:00:00+00:00,1,Delon Wright,RA,Delon Wright,RA,7.0
22,3596,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds and Assists - Tomas Satoransky,1.869565217391304,8.5,over,False,False,2021-03-21 00:00:00+00:00,1,Tomas Satoransky,RA,Tomas Satoransky,RA,11.0
23,3597,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,Total Rebounds and Assists - Tomas Satoransky,1.869565217391304,8.5,under,False,False,2021-03-21 00:00:00+00:00,0,Tomas Satoransky,RA,Tomas Satoransky,RA,11.0
24,3600,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,"Total Points, Rebounds and Assists - Jerami Grant",1.869565217391304,29.5,over,False,False,2021-03-21 00:00:00+00:00,0,Jerami Grant,PRA,Jerami Grant,PRA,29.0
25,3601,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,"Total Points, Rebounds and Assists - Jerami Grant",1.869565217391304,29.5,under,False,False,2021-03-21 00:00:00+00:00,1,Jerami Grant,PRA,Jerami Grant,PRA,29.0
26,3602,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,"Total Points, Rebounds and Assists - Lauri Markkanen",1.869565217391304,23.5,over,False,False,2021-03-21 00:00:00+00:00,1,Lauri Markkanen,PRA,Lauri Markkanen,PRA,24.0
27,3603,https://www.bodog.eu/sports/basketball/nba/chicago-bulls-detroit-pistons-202103211900,-115,2021-03-21 00:00:00+00:00,Detroit Pistons,Chicago Bulls,0,"Total Points, Rebounds and Assists - Lauri Markkanen",1.869565217391304,23.5,under,False,False,2021-03-21 00:00:00+00:00,0,Lauri Markkanen,PRA,Lauri Markkanen,PRA,24.0
