,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,101,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,29.5,Total Points - James Harden,2021-03-21 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,James Harden,PTS,James Harden,PTS,26.0
1,102,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,29.5,Total Points - James Harden,2021-03-21 00:00:00+00:00,1.78,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,James Harden,PTS,James Harden,PTS,26.0
2,103,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,33.5,Total Points - Bradley Beal,2021-03-21 00:00:00+00:00,1.89,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Bradley Beal,PTS,Bradley Beal,PTS,17.0
3,104,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,33.5,Total Points - Bradley Beal,2021-03-21 00:00:00+00:00,1.85,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Bradley Beal,PTS,Bradley Beal,PTS,17.0
4,105,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,8.5,Total Points - DeAndre Jordan,2021-03-21 00:00:00+00:00,2.02,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,DeAndre Jordan,PTS,DeAndre Jordan,PTS,12.0
5,106,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,8.5,Total Points - DeAndre Jordan,2021-03-21 00:00:00+00:00,1.72,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,DeAndre Jordan,PTS,DeAndre Jordan,PTS,12.0
6,107,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,10.5,Total Points - Jeff Green,2021-03-21 00:00:00+00:00,1.94,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Jeff Green,PTS,Jeff Green,PTS,3.0
7,108,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,10.5,Total Points - Jeff Green,2021-03-21 00:00:00+00:00,1.8,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Jeff Green,PTS,Jeff Green,PTS,3.0
8,109,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,14.5,Total Points - Joe Harris,2021-03-21 00:00:00+00:00,1.77,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Joe Harris,PTS,Joe Harris,PTS,10.0
9,110,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,14.5,Total Points - Joe Harris,2021-03-21 00:00:00+00:00,1.98,under,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,1,Joe Harris,PTS,Joe Harris,PTS,10.0
10,111,1557339,OPEN,OPEN,OPEN,Brooklyn Nets,Washington Wizards,29.5,Total Points - Kyrie Irving,2021-03-21 00:00:00+00:00,1.72,over,0,False,https://www.coolbet.com/ca/sports/match/1557339,2021-03-21 00:00:00+00:00,0,Kyrie Irving,PTS,Kyrie Irving,PTS,28.0
