,Unnamed: 0,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,16,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,-180,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Turnovers - Kemba Walker,over,1.556,1.5,2021-03-19 00:00:00+00:00,0,Kemba Walker,TOV,Kemba Walker,TOV,1.0
1,17,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,132,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Turnovers - Kemba Walker,under,2.32,1.5,2021-03-19 00:00:00+00:00,1,Kemba Walker,TOV,Kemba Walker,TOV,1.0
2,106,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-202,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Made 3 Point Shots - Robert Covington,over,1.495,1.5,2021-03-19 00:00:00+00:00,1,Robert Covington,FG3M,Robert Covington,FG3M,3.0
3,107,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,146,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Made 3 Point Shots - Robert Covington,under,2.46,1.5,2021-03-19 00:00:00+00:00,0,Robert Covington,FG3M,Robert Covington,FG3M,3.0
4,184,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,104,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Turnovers - DeAndre Jordan,over,2.04,1.5,2021-03-19 00:00:00+00:00,0,DeAndre Jordan,TOV,DeAndre Jordan,TOV,0.0
5,185,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-138,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Turnovers - DeAndre Jordan,under,1.725,1.5,2021-03-19 00:00:00+00:00,1,DeAndre Jordan,TOV,DeAndre Jordan,TOV,0.0
6,188,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-109,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Turnovers - Bam Adebayo,over,1.9169999999999998,2.5,2021-03-19 00:00:00+00:00,0,Bam Adebayo,TOV,Bam Adebayo,TOV,0.0
7,189,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-122,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Turnovers - Bam Adebayo,under,1.819,2.5,2021-03-19 00:00:00+00:00,1,Bam Adebayo,TOV,Bam Adebayo,TOV,0.0
8,488,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-100,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Points - Andrew Wiggins,over,2.0,20.5,2021-03-19 00:00:00+00:00,1,Andrew Wiggins,PTS,Andrew Wiggins,PTS,40.0
9,489,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-133,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Points - Andrew Wiggins,under,1.7519999999999998,20.5,2021-03-19 00:00:00+00:00,0,Andrew Wiggins,PTS,Andrew Wiggins,PTS,40.0
10,704,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-210,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Blocks and Steals - Jeff Green,over,1.4769999999999999,0.5,2021-03-19 00:00:00+00:00,0,Jeff Green,BS,Jeff Green,BS,0.0
11,705,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,151,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Blocks and Steals - Jeff Green,under,2.51,0.5,2021-03-19 00:00:00+00:00,1,Jeff Green,BS,Jeff Green,BS,0.0
12,706,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,116,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Made 3 Point Shots - Harrison Barnes,over,2.16,1.5,2021-03-19 00:00:00+00:00,1,Harrison Barnes,FG3M,Harrison Barnes,FG3M,2.0
13,707,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,-155,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Made 3 Point Shots - Harrison Barnes,under,1.6455,1.5,2021-03-19 00:00:00+00:00,0,Harrison Barnes,FG3M,Harrison Barnes,FG3M,2.0
14,708,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,-179,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Blocks - Daniel Theis,over,1.5590000000000002,0.5,2021-03-19 00:00:00+00:00,1,Daniel Theis,BLK,Daniel Theis,BLK,1.0
15,709,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,131,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Blocks - Daniel Theis,under,2.31,0.5,2021-03-19 00:00:00+00:00,0,Daniel Theis,BLK,Daniel Theis,BLK,1.0
16,744,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,126,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Made 3 Point Shots - Malcolm Brogdon,over,2.26,2.5,2021-03-19 00:00:00+00:00,1,Malcolm Brogdon,FG3M,Malcolm Brogdon,FG3M,7.0
17,745,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-171,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Made 3 Point Shots - Malcolm Brogdon,under,1.585,2.5,2021-03-19 00:00:00+00:00,0,Malcolm Brogdon,FG3M,Malcolm Brogdon,FG3M,7.0
18,746,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-109,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,"Total Points, Rebounds and Assists - Bam Adebayo",over,1.9169999999999998,33.5,2021-03-19 00:00:00+00:00,0,Bam Adebayo,PRA,Bam Adebayo,PRA,33.0
19,747,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-121,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,"Total Points, Rebounds and Assists - Bam Adebayo",under,1.8259999999999998,33.5,2021-03-19 00:00:00+00:00,1,Bam Adebayo,PRA,Bam Adebayo,PRA,33.0
20,748,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-112,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Rebounds - Kendrick Nunn,over,1.893,2.5,2021-03-19 00:00:00+00:00,0,Kendrick Nunn,REB,Kendrick Nunn,REB,0.0
21,749,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-118,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Rebounds - Kendrick Nunn,under,1.848,2.5,2021-03-19 00:00:00+00:00,1,Kendrick Nunn,REB,Kendrick Nunn,REB,0.0
22,1018,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,115,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Assists - Evan Fournier,over,2.15,3.5,2021-03-19 00:00:00+00:00,0,Evan Fournier,AST,Evan Fournier,AST,2.0
23,1019,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-153,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Assists - Evan Fournier,under,1.653,3.5,2021-03-19 00:00:00+00:00,1,Evan Fournier,AST,Evan Fournier,AST,2.0
24,1020,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,122,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Assists - Zach LaVine,over,2.22,5.5,2021-03-19 00:00:00+00:00,0,Zach LaVine,AST,Zach LaVine,AST,4.0
25,1021,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-164,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Assists - Zach LaVine,under,1.609,5.5,2021-03-19 00:00:00+00:00,1,Zach LaVine,AST,Zach LaVine,AST,4.0
26,1022,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,-110,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Rebounds - Keldon Johnson,over,1.909,5.5,2021-03-19 00:00:00+00:00,1,Keldon Johnson,REB,Keldon Johnson,REB,21.0
27,1023,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,-119,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Rebounds - Keldon Johnson,under,1.841,5.5,2021-03-19 00:00:00+00:00,0,Keldon Johnson,REB,Keldon Johnson,REB,21.0
28,1026,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-102,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Blocks and Steals - Luka Doncic,over,1.98,1.5,2021-03-19 00:00:00+00:00,0,Luka Doncic,BS,Luka Doncic,BS,1.0
29,1027,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-130,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Blocks and Steals - Luka Doncic,under,1.77,1.5,2021-03-19 00:00:00+00:00,1,Luka Doncic,BS,Luka Doncic,BS,1.0
30,1226,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-115,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Points - Evan Fournier,over,1.869,18.5,2021-03-19 00:00:00+00:00,1,Evan Fournier,PTS,Evan Fournier,PTS,31.0
31,1227,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-115,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Points - Evan Fournier,under,1.869,18.5,2021-03-19 00:00:00+00:00,0,Evan Fournier,PTS,Evan Fournier,PTS,31.0
32,1230,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,122,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Turnovers - Jakob Poeltl,over,2.22,1.5,2021-03-19 00:00:00+00:00,0,Jakob Poeltl,TOV,Jakob Poeltl,TOV,0.0
33,1231,https://www.pinnacle.com/en/Basketball/NBA/San-Antonio-Spurs-vs-Cleveland-Cavaliers/1285646058,False,0,-167,2021-03-19 00:00:00+00:00,Cleveland Cavaliers,San Antonio Spurs,Total Turnovers - Jakob Poeltl,under,1.599,1.5,2021-03-19 00:00:00+00:00,1,Jakob Poeltl,TOV,Jakob Poeltl,TOV,0.0
34,1232,https://www.pinnacle.com/en/Basketball/NBA/Utah-Jazz-vs-Toronto-Raptors/1285662272,False,0,-140,2021-03-20 00:00:00+00:00,Toronto Raptors,Utah Jazz,Total Points - Royce O'Neale,over,1.714,6.5,2021-03-19 00:00:00+00:00,1,Royce O'Neale,PTS,Royce O'Neale,PTS,8.0
35,1233,https://www.pinnacle.com/en/Basketball/NBA/Utah-Jazz-vs-Toronto-Raptors/1285662272,False,0,105,2021-03-20 00:00:00+00:00,Toronto Raptors,Utah Jazz,Total Points - Royce O'Neale,under,2.05,6.5,2021-03-19 00:00:00+00:00,0,Royce O'Neale,PTS,Royce O'Neale,PTS,8.0
36,1240,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-165,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Made 3 Point Shots - Will Barton,over,1.6059999999999999,1.5,2021-03-19 00:00:00+00:00,0,Will Barton,FG3M,Will Barton,FG3M,1.0
37,1241,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,122,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Made 3 Point Shots - Will Barton,under,2.22,1.5,2021-03-19 00:00:00+00:00,1,Will Barton,FG3M,Will Barton,FG3M,1.0
38,1244,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,135,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Rebounds - Tomas Satoransky,over,2.35,3.5,2021-03-19 00:00:00+00:00,0,Tomas Satoransky,REB,Tomas Satoransky,REB,3.0
39,1245,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-185,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Rebounds - Tomas Satoransky,under,1.541,3.5,2021-03-19 00:00:00+00:00,1,Tomas Satoransky,REB,Tomas Satoransky,REB,3.0
40,1246,https://www.pinnacle.com/en/Basketball/NBA/Minnesota-Timberwolves-vs-Phoenix-Suns/1285730427,False,0,121,2021-03-20 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,Total Made 3 Point Shots - Chris Paul,over,2.21,1.5,2021-03-19 00:00:00+00:00,0,Chris Paul,FG3M,Chris Paul,FG3M,1.0
41,1247,https://www.pinnacle.com/en/Basketball/NBA/Minnesota-Timberwolves-vs-Phoenix-Suns/1285730427,False,0,-163,2021-03-20 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,Total Made 3 Point Shots - Chris Paul,under,1.6130000000000002,1.5,2021-03-19 00:00:00+00:00,1,Chris Paul,FG3M,Chris Paul,FG3M,1.0
42,1278,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,101,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Blocks and Steals - Kyrie Irving,over,2.01,1.5,2021-03-19 00:00:00+00:00,0,Kyrie Irving,BS,Kyrie Irving,BS,1.0
43,1279,https://www.pinnacle.com/en/Basketball/NBA/Brooklyn-Nets-vs-Orlando-Magic/1285662273,False,0,-134,2021-03-20 00:00:00+00:00,Orlando Magic,Brooklyn Nets,Total Blocks and Steals - Kyrie Irving,under,1.746,1.5,2021-03-19 00:00:00+00:00,1,Kyrie Irving,BS,Kyrie Irving,BS,1.0
44,1280,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-102,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,"Total Points, Rebounds and Assists - Tomas Satoransky",over,1.98,18.5,2021-03-19 00:00:00+00:00,0,Tomas Satoransky,PRA,Tomas Satoransky,PRA,16.0
