,Unnamed: 0,isProps,link,startTime,home,away,period,betType,price,points,designation,live,scrapeMergeDate,result,playerName,statName,name,Stat,Value
0,5,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Assists - Myles Turner,6.38,2.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,AST,Myles Turner,AST,1.0
1,279,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Assists - Myles Turner,12.53,3.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,AST,Myles Turner,AST,1.0
2,553,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Assists - Myles Turner,19.96,4.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,AST,Myles Turner,AST,1.0
3,827,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Blocked Shots - Myles Turner,1.01,0.5,over,False,2021-03-17 00:00:00+00:00,1,Myles Turner,BLK,Myles Turner,BLK,2.0
4,1101,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Blocked Shots - Myles Turner,1.12,1.5,over,False,2021-03-17 00:00:00+00:00,1,Myles Turner,BLK,Myles Turner,BLK,2.0
5,1375,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Blocked Shots - Myles Turner,1.4,2.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,BLK,Myles Turner,BLK,2.0
6,1649,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Blocked Shots - Myles Turner,2.15,3.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,BLK,Myles Turner,BLK,2.0
7,1923,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,2.05,7.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
8,2197,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,2.28,8.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
9,2471,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,3.0,9.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
10,2745,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,4.25,10.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
11,3019,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,6.46,11.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
12,3293,True,https://www.bodog.eu/sports/basketball/nba/brooklyn-nets-indiana-pacers-202103171905,2021-03-17 00:00:00+00:00,Indiana Pacers,Brooklyn Nets,0,Total Rebounds - Myles Turner,11.72,12.5,over,False,2021-03-17 00:00:00+00:00,0,Myles Turner,REB,Myles Turner,REB,4.0
