,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,OGscrapeDate,SiteName,id_old,status_new,status_old,status,Americanprice,Team_ID_away,Game_ID,GAME_DATE_away,MATCHUP_away,WL_away,W_away,L_away,W_PCT_away,MIN_away,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTM_away,FTA_away,FT_PCT_away,OREB_away,DREB_away,REB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,team_away,ignore_away,Team_ID_home,GAME_DATE_home,MATCHUP_home,WL_home,W_home,L_home,W_PCT_home,MIN_home,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTM_home,FTA_home,FT_PCT_home,OREB_home,DREB_home,REB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,team_home,ignore_home,abbr_home,abbr_away,total,result,homeSpread,awaySpread,TEAM_x,TWITTER_x,INSTAGRAM_x,FACEBOOK_x,TOTAL_x,ROI,TEAM_y,TWITTER_y,INSTAGRAM_y,FACEBOOK_y,TOTAL_y
0,130,130,130,130,65,130,130,130,130,130,130,128,130,130,65,130,130,26,26,26,26,26,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,130,129,129,130,130,130,130,130,130,Atlanta Hawks,"1,253,734","1,177,581","1,607,529","4,038,844"
1,349,349,349,349,170,349,349,349,349,349,349,344,349,349,170,349,349,71,71,71,71,73,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,348,348,349,349,349,349,349,349,Boston Celtics,"3,489,217","4,583,689","8,982,943","17,055,849"
2,341,341,341,341,171,341,341,341,341,341,341,336,341,341,171,341,341,66,66,66,66,65,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,341,340,340,341,341,341,341,341,341,Brooklyn Nets,"1,055,105","1,826,072","2,734,352","5,615,529"
3,243,243,243,243,118,243,243,243,243,243,243,239,243,243,118,243,243,45,45,45,45,50,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,243,198,198,243,243,243,243,243,243,Charlotte Hornets,"957,488","1,139,120","1,733,481","3,830,089"
4,420,420,420,420,202,420,420,420,420,420,420,413,420,420,202,420,420,80,80,80,80,91,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,420,398,398,420,420,420,420,420,420,Chicago Bulls,"4,113,064","4,776,771","17,651,233","26,541,068"
5,356,356,356,356,169,356,356,356,356,356,356,350,356,356,169,356,356,64,64,64,64,78,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,356,355,355,356,356,356,356,356,356,Cleveland Cavaliers,"3,255,990","7,451,311","8,537,880","19,245,181"
6,252,252,252,252,132,252,252,252,252,252,252,248,252,252,132,252,252,42,42,42,42,52,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,Dallas Mavericks,"1,632,318","1,412,667","4,364,820","7,409,805"
7,329,329,329,329,165,329,329,329,329,329,329,324,329,329,165,329,329,65,65,65,65,65,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,329,328,328,329,329,329,329,329,329,Denver Nuggets,"926,393","1,082,183","2,003,609","4,012,185"
8,263,263,263,263,131,263,263,263,263,263,263,259,263,263,131,263,263,54,54,54,54,52,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,263,262,262,263,263,263,263,263,263,Detroit Pistons,"925,622","1,042,112","1,848,071","3,815,805"
9,269,269,269,269,133,269,269,269,269,269,269,265,269,269,133,269,269,52,52,52,52,52,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,Golden State Warriors,"6,382,948","13,201,981","11,695,064","31,279,993"
10,269,269,269,269,137,269,269,269,269,269,269,265,269,269,137,269,269,52,52,52,52,52,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,268,269,268,268,269,269,269,269,269,269,Houston Rockets,"2,972,379","4,344,989","12,974,848","20,292,216"
11,307,307,307,307,135,307,307,307,307,307,307,301,307,307,135,307,307,52,52,52,52,78,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,307,285,285,307,307,307,307,307,307,Indiana Pacers,"1,228,323","1,684,935","3,233,798","6,147,056"
12,248,248,248,248,123,248,248,248,248,248,248,244,248,248,123,248,248,44,44,44,44,50,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,248,201,201,248,248,248,248,248,248,Los Angeles Lakers,"8,155,399","9,960,137","21,583,829","39,699,365"
13,325,325,325,325,161,325,325,325,325,325,325,320,325,325,161,325,325,66,66,66,66,65,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,Memphis Grizzlies,"1,052,319","896,548","1,800,241","3,749,108"
14,241,241,241,241,129,241,241,241,241,241,241,237,241,241,129,241,241,39,39,39,39,52,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,241,240,240,241,241,241,241,241,241,Miami Heat,"4,677,528","3,710,653","15,188,432","23,576,613"
15,182,182,182,182,73,182,182,182,182,182,182,178,182,182,73,182,182,26,26,26,26,52,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,182,161,161,182,182,182,182,182,182,Milwaukee Bucks,"1,130,626","2,341,409","1,843,668","5,315,703"
