,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps,OGscrapeDate,SiteName,id_old,status_new,status_old,status,Americanprice,Team_ID_away,Game_ID,GAME_DATE_away,MATCHUP_away,WL_away,W_away,L_away,W_PCT_away,MIN_away,FGM_away,FGA_away,FG_PCT_away,FG3M_away,FG3A_away,FG3_PCT_away,FTM_away,FTA_away,FT_PCT_away,OREB_away,DREB_away,REB_away,AST_away,STL_away,BLK_away,TOV_away,PF_away,PTS_away,team_away,ignore_away,Team_ID_home,GAME_DATE_home,MATCHUP_home,WL_home,W_home,L_home,W_PCT_home,MIN_home,FGM_home,FGA_home,FG_PCT_home,FG3M_home,FG3A_home,FG3_PCT_home,FTM_home,FTA_home,FT_PCT_home,OREB_home,DREB_home,REB_home,AST_home,STL_home,BLK_home,TOV_home,PF_home,PTS_home,team_home,ignore_home,abbr_home,abbr_away,total,result,homeSpread,awaySpread,TEAM_x,TWITTER_x,INSTAGRAM_x,FACEBOOK_x,TOTAL_x,ROI,TEAM_y,TWITTER_y,INSTAGRAM_y,FACEBOOK_y,TOTAL_y
0,132,132,132,132,67,132,132,132,132,132,132,130,132,132,67,132,132,26,26,26,26,26,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,132,131,131,132,132,132,132,132,132,Atlanta Hawks,"1,253,734","1,177,581","1,607,529","4,038,844"
1,349,349,349,349,170,349,349,349,349,349,349,344,349,349,170,349,349,71,71,71,71,73,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,348,349,348,348,349,349,349,349,349,349,Boston Celtics,"3,489,217","4,583,689","8,982,943","17,055,849"
2,341,341,341,341,171,341,341,341,341,341,341,336,341,341,171,341,341,66,66,66,66,65,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,341,340,340,341,341,341,341,341,341,Brooklyn Nets,"1,055,105","1,826,072","2,734,352","5,615,529"
3,243,243,243,243,118,243,243,243,243,243,243,239,243,243,118,243,243,45,45,45,45,50,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,243,198,198,243,243,243,243,243,243,Charlotte Hornets,"957,488","1,139,120","1,733,481","3,830,089"
4,421,421,421,421,203,421,421,421,421,421,421,414,421,421,203,421,421,80,80,80,80,91,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,399,421,399,399,421,421,421,421,421,421,Chicago Bulls,"4,113,064","4,776,771","17,651,233","26,541,068"
5,353,353,353,353,166,353,353,353,353,353,353,347,353,353,166,353,353,64,64,64,64,78,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,353,352,352,353,353,353,353,353,353,Cleveland Cavaliers,"3,255,990","7,451,311","8,537,880","19,245,181"
6,253,253,253,253,133,253,253,253,253,253,253,249,253,253,133,253,253,42,42,42,42,52,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,Dallas Mavericks,"1,632,318","1,412,667","4,364,820","7,409,805"
7,329,329,329,329,165,329,329,329,329,329,329,324,329,329,165,329,329,65,65,65,65,65,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,329,328,328,329,329,329,329,329,329,Denver Nuggets,"926,393","1,082,183","2,003,609","4,012,185"
8,264,264,264,264,132,264,264,264,264,264,264,260,264,264,132,264,264,54,54,54,54,52,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,263,264,263,263,264,264,264,264,264,264,Detroit Pistons,"925,622","1,042,112","1,848,071","3,815,805"
9,267,267,267,267,131,267,267,267,267,267,267,263,267,267,131,267,267,52,52,52,52,52,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,Golden State Warriors,"6,382,948","13,201,981","11,695,064","31,279,993"
