,link,period,home,away,startTime,betType,price,points,designation,live
0,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Most Goals (OT and SO incl),1.952,0.0,,False
1,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Total Goals (OT and SO incl),1.727,35.5,over,False
2,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,4.5,0.0,Connor McDavid (EDM) & Leon Draisaitl (EDM) Both To Score 1+ Goals,False
3,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,4.5,0.0,Connor McDavid (EDM) & Max Pacioretty (VGK) Both To Score 1+ Goals,False
4,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,4.5,0.0,Leon Draisaitl (EDM) & Max Pacioretty (VGK) Both To Score 1+ Goals,False
5,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,5.0,0.0,Connor McDavid (EDM) & Artemi Panarin (NYR) Both To Score 1+ Goals,False
6,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,5.0,0.0,Connor McDavid (EDM) & Brock Boeser (VAN) Both To Score 1+ Goals,False
7,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,5.5,0.0,Max Pacioretty (VGK) & Brock Boeser (VAN) Both To Score 1+ Goals,False
8,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,6.5,0.0,Bo Horvat (VAN) & Artemi Panarin (NYR) Both To Score 1+ Goals,False
9,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,9.5,0.0,"Connor McDavid (EDM), Leon Draisaitl (EDM) & Max Pacioretty (VGK) All To Score 1+ Goals",False
10,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,11.0,0.0,"Connor McDavid (EDM), Max Pacioretty (VGK) & Brock Boeser (VAN) All To Score 1+ Goals",False
11,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,11.0,0.0,"Leon Draisaitl (EDM), Max Pacioretty (VGK) & Artemi Panarin (NYR) All To Score 1+ Goals",False
12,https://sports.betway.com/en/sports/evt/7357311,0,,,2021-03-17 00:00:00+00:00,Goals,13.0,0.0,"Leon Draisaitl (EDM), Brock Boeser (VAN) & Bo Horvat (VAN) All To Score 1+ Goals",False
