,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps
0,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,+200,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,moneyline,3.0,0.0,Buffalo Sabres,False,False
1,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-240,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,moneyline,1.4166666666666667,0.0,New York Rangers,False,False
2,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-125,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,spread,1.8,1.5,Buffalo Sabres,False,False
3,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,+105,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,spread,2.05,-1.5,New York Rangers,False,False
4,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-115,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,total,1.8695652173913042,5.5,over,False,False
5,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-105,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,0,total,1.9523809523809523,5.5,under,False,False
6,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,+170,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,moneyline,2.7,0.0,Buffalo Sabres,False,False
7,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-225,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,moneyline,1.4444444444444444,0.0,New York Rangers,False,False
8,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-150,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,spread,1.6666666666666665,0.5,Buffalo Sabres,False,False
9,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,+115,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,spread,2.15,-0.5,New York Rangers,False,False
10,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-115,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,total,1.8695652173913042,1.5,over,False,False
11,https://www.bodog.eu/sports/hockey/nhl/buffalo-sabres-new-york-rangers-202103221908,-115,2021-03-22 00:00:00+00:00,New York Rangers,Buffalo Sabres,1,total,1.8695652173913042,1.5,under,False,False
