,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Hockey/NHL/New-York-Islanders-vs-Philadelphia-Flyers/1287737564,False,0,-151,2021-03-22 00:00:00+00:00,Philadelphia Flyers,New York Islanders,Jakub Voracek Shots on Goal Over/Under 1.5,over,1.662,1.5
1,https://www.pinnacle.com/en/Hockey/NHL/New-York-Islanders-vs-Philadelphia-Flyers/1287737564,False,0,113,2021-03-22 00:00:00+00:00,Philadelphia Flyers,New York Islanders,Jakub Voracek Shots on Goal Over/Under 1.5,under,2.13,1.5
2,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1287821841,False,0,101,2021-03-23 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Clayton Keller Total Points Over/Under 0.5,over,2.01,0.5
3,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1287821841,False,0,-135,2021-03-23 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Clayton Keller Total Points Over/Under 0.5,under,1.741,0.5
4,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,460,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,0,5.6,
5,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,260,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,1,3.6,
6,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,270,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,2,3.7,
7,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,360,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,3,4.6,
8,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,500,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,4,6.0,
9,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,975,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,6+,10.75,
10,https://www.pinnacle.com/en/Hockey/NHL/1-vs-0/1287737560,False,0,825,2021-03-22 00:00:00+00:00,0,1,Buffalo Sabres Goals,5,9.25,
11,https://www.pinnacle.com/en/Hockey/NHL/New-York-Islanders-vs-Philadelphia-Flyers/1287737564,False,0,288,2021-03-22 00:00:00+00:00,Philadelphia Flyers,New York Islanders,Travis Konecny Total Goals Over/Under 0.5,over,3.88,0.5
12,https://www.pinnacle.com/en/Hockey/NHL/New-York-Islanders-vs-Philadelphia-Flyers/1287737564,False,0,-500,2021-03-22 00:00:00+00:00,Philadelphia Flyers,New York Islanders,Travis Konecny Total Goals Over/Under 0.5,under,1.2,0.5
13,https://www.pinnacle.com/en/Hockey/NHL/Carolina-Hurricanes-vs-Columbus-Blue-Jackets/1287737563,False,0,102,2021-03-22 00:00:00+00:00,Columbus Blue Jackets,Carolina Hurricanes,Jack Roslovic Total Points Over/Under 0.5,over,2.02,0.5
14,https://www.pinnacle.com/en/Hockey/NHL/Carolina-Hurricanes-vs-Columbus-Blue-Jackets/1287737563,False,0,-135,2021-03-22 00:00:00+00:00,Columbus Blue Jackets,Carolina Hurricanes,Jack Roslovic Total Points Over/Under 0.5,under,1.741,0.5
15,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1287821841,False,0,-125,2021-03-23 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Conor Garland Total Points Over/Under 0.5,under,1.8,0.5
16,https://www.pinnacle.com/en/Hockey/NHL/Colorado-Avalanche-vs-Arizona-Coyotes/1287821841,False,0,-106,2021-03-23 00:00:00+00:00,Arizona Coyotes,Colorado Avalanche,Conor Garland Total Points Over/Under 0.5,over,1.943,0.5
17,https://www.pinnacle.com/en/Hockey/NHL/Winnipeg-Jets-vs-Vancouver-Canucks/1287821843,False,0,-104,2021-03-23 00:00:00+00:00,Vancouver Canucks,Winnipeg Jets,Brock Boeser Shots on Goal Over/Under 2.5,over,1.962,2.5
18,https://www.pinnacle.com/en/Hockey/NHL/Winnipeg-Jets-vs-Vancouver-Canucks/1287821843,False,0,-128,2021-03-23 00:00:00+00:00,Vancouver Canucks,Winnipeg Jets,Brock Boeser Shots on Goal Over/Under 2.5,under,1.781,2.5
19,https://www.pinnacle.com/en/Hockey/NHL/Los-Angeles-Kings-vs-San-Jose-Sharks/1287849606,False,0,-473,2021-03-23 00:00:00+00:00,San Jose Sharks,Los Angeles Kings,Adrian Kempe Total Goals Over/Under 0.5,under,1.211,0.5
