,isProps,link,startTime,home,away,period,betType,price,points,designation,live
0,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Steven Stamkos Total Points Over/Under 2.5,4.67,2.5,over,
1,True,,2021-01-20 00:00:00+00:00,Tampa Bay Lightning,Dallas Stars,0,Yanni Gourde Total Goals Over/Under 2.5,8.0,2.5,over,
2,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Goals Over/Under 0.5,3.75,0.5,over,False
133,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Goals Over/Under 1.5,15.0,1.5,over,False
264,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Goals Over/Under 2.5,75.0,2.5,over,False
395,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Assists Over/Under 0.5,3.5,0.5,over,False
526,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Assists Over/Under 1.5,18.0,1.5,over,False
657,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Points Over/Under 0.5,2.11,0.5,over,False
788,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Points Over/Under 1.5,7.57,1.5,over,False
919,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Points Over/Under 2.5,25.0,2.5,over,False
1050,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Points Over/Under 3.5,60.0,3.5,over,False
1181,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Points Over/Under 4.5,151.0,4.5,over,False
1312,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Shots on goal Over/Under 1.5,1.82,1.5,over,False
1443,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Shots on goal Over/Under 2.5,2.45,2.5,over,False
1574,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Shots on goal Over/Under 3.5,4.02,3.5,over,False
1705,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Shots on goal Over/Under 4.5,7.31,4.5,over,False
1836,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Joshua Norris Total Shots on goal Over/Under 5.5,13.87,5.5,over,False
1967,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Goals Over/Under 0.5,3.5,0.5,over,False
2098,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Goals Over/Under 1.5,14.0,1.5,over,False
2229,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Goals Over/Under 2.5,70.0,2.5,over,False
2360,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Assists Over/Under 0.5,3.5,0.5,over,False
2491,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Assists Over/Under 1.5,18.0,1.5,over,False
2622,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Points Over/Under 0.5,1.9,0.5,over,False
2753,True,https://www.bodog.eu/sports/hockey/nhl/calgary-flames-ottawa-senators-202103241708,2021-03-24 00:00:00+00:00,Ottawa Senators,Calgary Flames,0,Drake Batherson Total Points Over/Under 1.5,5.33,1.5,over,False
