,link,period,home,away,startTime,betType,price,points,designation,live
0,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Win/Draw/Win,5.9,0.0,Minnesota Timberwolves,True
1,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,moneyline,5.3,0.0,Minnesota Timberwolves,True
2,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.833,-9.5,Minnesota Timberwolves,True
3,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.833,223.0,Over,True
4,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,awayTotal,1.8,106.5,Over,True
5,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,homeTotal,1.87,116.5,Over,True
6,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Point Spread 3 Way,2.0,-9.0,Minnesota Timberwolves,True
7,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.952,-8.5,Minnesota Timberwolves,True
8,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.741,-10.5,Minnesota Timberwolves,True
9,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.909,223.5,Over,True
10,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.8,222.5,Over,True
11,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.833,55.5,Over,True
12,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.833,-2.5,Minnesota Timberwolves,True
13,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,moneyline,2.5,0.0,Minnesota Timberwolves,True
14,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,awayTotal,1.833,26.5,Over,True
15,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,homeTotal,1.833,29.0,Over,True
16,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Win/Draw/Win,17.5,0.0,draw,True
17,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Win/Draw/Win,1.164,0.0,Phoenix Suns,True
18,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,moneyline,1.133,0.0,Phoenix Suns,True
19,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.833,-9.5,Phoenix Suns,True
20,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.833,223.0,Under,True
21,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,awayTotal,1.87,106.5,Under,True
22,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,homeTotal,1.8,116.5,Under,True
23,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Point Spread 3 Way,14.0,-9.0,draw,True
24,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,Point Spread 3 Way,1.87,-9.0,Phoenix Suns,True
25,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.741,-8.5,Phoenix Suns,True
26,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.952,-10.5,Phoenix Suns,True
27,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.769,223.5,Under,True
28,https://sports.betway.com/en/sports/evt/7351909,0,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.87,222.5,Under,True
29,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,total,1.833,55.5,Under,True
30,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,spread,1.833,-2.5,Phoenix Suns,True
31,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,moneyline,1.476,0.0,Phoenix Suns,True
32,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,awayTotal,1.833,26.5,Under,True
33,https://sports.betway.com/en/sports/evt/7351909,3,Phoenix Suns,Minnesota Timberwolves,2021-03-19 00:00:00+00:00,homeTotal,1.833,29.0,Under,True
34,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Win/Draw/Win,3.8,0.0,New Orleans Pelicans,True
35,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,moneyline,3.5,0.0,New Orleans Pelicans,True
36,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.833,-7.0,New Orleans Pelicans,True
37,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.833,222.5,Over,True
38,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,awayTotal,1.8,107.5,Over,True
39,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,homeTotal,1.8,114.5,Over,True
40,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Point Spread 3 Way,1.952,-7.0,New Orleans Pelicans,True
41,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,2.2,-5.5,New Orleans Pelicans,True
42,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.909,-6.5,New Orleans Pelicans,True
43,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.741,-7.5,New Orleans Pelicans,True
44,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.606,-8.5,New Orleans Pelicans,True
45,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,2.2,224.5,Over,True
46,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,2.0,223.5,Over,True
47,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.741,221.5,Over,True
48,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.69,220.5,Over,True
49,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.87,58.5,Over,True
50,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.833,-1.5,New Orleans Pelicans,True
51,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,moneyline,1.667,0.0,New Orleans Pelicans,True
52,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,awayTotal,1.833,30.0,Over,True
53,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,homeTotal,1.833,28.5,Over,True
54,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Win/Draw/Win,15.0,0.0,draw,True
55,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Win/Draw/Win,1.294,0.0,Portland Trail Blazers,True
56,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,moneyline,1.25,0.0,Portland Trail Blazers,True
57,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.833,-7.0,Portland Trail Blazers,True
58,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.833,222.5,Under,True
59,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,awayTotal,1.87,107.5,Under,True
60,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,homeTotal,1.87,114.5,Under,True
61,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Point Spread 3 Way,14.0,-7.0,draw,True
62,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,Point Spread 3 Way,1.952,-7.0,Portland Trail Blazers,True
63,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.606,-5.5,Portland Trail Blazers,True
64,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.769,-6.5,Portland Trail Blazers,True
65,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.952,-7.5,Portland Trail Blazers,True
66,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,2.2,-8.5,Portland Trail Blazers,True
67,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.606,224.5,Under,True
68,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.714,223.5,Under,True
69,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.952,221.5,Under,True
70,https://sports.betway.com/en/sports/evt/7351910,0,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,2.05,220.5,Under,True
71,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,total,1.8,58.5,Under,True
72,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,spread,1.833,1.5,Portland Trail Blazers,True
73,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,moneyline,2.1,0.0,Portland Trail Blazers,True
74,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,awayTotal,1.833,30.0,Under,True
75,https://sports.betway.com/en/sports/evt/7351910,3,Portland Trail Blazers,New Orleans Pelicans,2021-03-19 00:00:00+00:00,homeTotal,1.833,28.5,Under,True
76,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,Win/Draw/Win,4.1,0.0,Charlotte Hornets,True
77,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,moneyline,3.8,0.0,Charlotte Hornets,True
78,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,1.833,-8.5,Charlotte Hornets,True
79,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,total,1.833,222.5,Over,True
80,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,awayTotal,1.833,107.0,Over,True
81,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,homeTotal,1.833,115.5,Over,True
82,https://sports.betway.com/en/sports/evt/7351911,12,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,1.833,-6.5,Charlotte Hornets,True
83,https://sports.betway.com/en/sports/evt/7351911,12,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,total,1.833,112.0,Over,True
84,https://sports.betway.com/en/sports/evt/7351911,12,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,moneyline,4.5,0.0,Charlotte Hornets,True
85,https://sports.betway.com/en/sports/evt/7351911,12,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,awayTotal,1.8,52.5,Over,True
86,https://sports.betway.com/en/sports/evt/7351911,12,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,homeTotal,1.87,59.5,Over,True
87,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,Point Spread 3 Way,2.0,-8.0,Charlotte Hornets,True
88,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,2.15,-6.5,Charlotte Hornets,True
89,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,2.0,-7.5,Charlotte Hornets,True
90,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,1.714,-9.5,Charlotte Hornets,True
91,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,spread,1.606,-10.5,Charlotte Hornets,True
92,https://sports.betway.com/en/sports/evt/7351911,0,Los Angeles Lakers,Charlotte Hornets,2021-03-19 00:00:00+00:00,total,2.15,224.5,Over,True
