,link,price.BodogOld,startTime,home,away,period,betType,price,points,designation,live,isProps
0,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+210,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,moneyline,3.1,0.0,Minnesota Timberwolves,True,False
1,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-290,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,moneyline,1.3448275862068966,0.0,Phoenix Suns,True,False
2,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-105,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,spread,1.9523809523809523,5.0,Minnesota Timberwolves,True,False
3,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,spread,1.8695652173913042,-5.0,Phoenix Suns,True,False
4,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-105,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,total,1.9523809523809523,113.0,over,True,False
5,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,24,total,1.8695652173913042,113.0,under,True,False
6,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+475,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,moneyline,5.75,0.0,Minnesota Timberwolves,True,False
7,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-850,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,moneyline,1.1176470588235294,0.0,Phoenix Suns,True,False
8,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+155,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,moneyline,2.55,0.0,Minnesota Timberwolves,True,False
9,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-210,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,moneyline,1.4761904761904763,0.0,Phoenix Suns,True,False
10,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,spread,1.8695652173913042,2.5,Minnesota Timberwolves,True,False
11,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,spread,1.8695652173913042,-2.5,Phoenix Suns,True,False
12,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,total,1.8695652173913042,55.5,over,True,False
13,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-115,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,3,total,1.8695652173913042,55.5,under,True,False
14,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+425,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,5.25,-0.5,Minnesota Timberwolves,True,False
15,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-800,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.125,0.5,Phoenix Suns,True,False
16,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+325,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,4.25,2.5,Minnesota Timberwolves,True,False
17,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-475,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.2105263157894737,-2.5,Phoenix Suns,True,False
18,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+225,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,3.25,4.5,Minnesota Timberwolves,True,False
19,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-305,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.3278688524590163,-4.5,Phoenix Suns,True,False
20,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+800,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,9.0,-5.5,Minnesota Timberwolves,True,False
21,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-2500,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.04,5.5,Phoenix Suns,True,False
22,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+150,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,2.5,6.5,Minnesota Timberwolves,True,False
23,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-200,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.5,-6.5,Phoenix Suns,True,False
24,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-200,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.5,12.5,Minnesota Timberwolves,True,False
25,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+150,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,2.5,-12.5,Phoenix Suns,True,False
26,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-290,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.3448275862068966,14.5,Minnesota Timberwolves,True,False
27,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+215,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,3.15,-14.5,Phoenix Suns,True,False
28,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-450,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.2222222222222223,16.5,Minnesota Timberwolves,True,False
29,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+285,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,3.85,-16.5,Phoenix Suns,True,False
30,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-800,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.125,19.5,Minnesota Timberwolves,True,False
31,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+450,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,5.5,-19.5,Phoenix Suns,True,False
32,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-2500,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,1.04,24.5,Minnesota Timberwolves,True,False
33,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+800,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,spread,9.0,-24.5,Phoenix Suns,True,False
34,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-1000,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,1.1,208.5,over,True,False
35,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+550,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,6.5,208.5,under,True,False
36,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-475,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,1.2105263157894737,213.5,over,True,False
37,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+300,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,4.0,213.5,under,True,False
38,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-220,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,1.4545454545454546,218.5,over,True,False
39,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+160,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,2.6,218.5,under,True,False
40,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+160,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,2.6,228.5,over,True,False
41,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-220,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,1.4545454545454546,228.5,under,True,False
42,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+285,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,3.85,233.5,over,True,False
43,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,-450,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,1.2222222222222223,233.5,under,True,False
44,https://www.bodog.eu/sports/basketball/nba/minnesota-timberwolves-phoenix-suns-202103182200,+475,2021-03-19 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,0,total,5.75,238.5,over,True,False
