,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points
0,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-116,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,moneyline,BC Parma Perm U21,1.862,
1,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-124,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,moneyline,BC Khimki Moscow Oblast U21,1.807,
2,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-133,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,homeTotal,over,1.752,76.5
3,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-118,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,homeTotal,under,1.848,76.5
4,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-111,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,awayTotal,over,1.901,79.5
5,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-142,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,awayTotal,under,1.704,79.5
6,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-132,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.758,1.0
7,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-110,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.909,-1.0
8,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,117,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,2.17,-3.0
9,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-175,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.571,3.0
10,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,109,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,2.09,-2.5
11,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-162,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.617,2.5
12,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-100,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,2.0,-2.0
13,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-148,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.676,2.0
14,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-110,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.909,-1.5
15,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-134,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.746,1.5
16,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-117,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.8545,-1.0
17,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-125,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.8,1.0
18,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-142,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.704,1.5
19,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-102,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,1.98,-1.5
20,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-160,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.625,2.0
21,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,108,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,2.08,-2.0
22,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-178,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.562,2.5
23,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,118,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,2.18,-2.5
24,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-194,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.516,3.0
25,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,128,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,2.28,-3.0
26,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,-210,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Parma Perm U21,1.477,3.5
27,https://www.pinnacle.com/en/Basketball/Europe - VTB United Youth League/BC-Khimki-Moscow-Oblast-U21-vs-BC-Parma-Perm-U21/0,False,0,138,2021-03-24 00:00:00+00:00,BC Parma Perm U21,BC Khimki Moscow Oblast U21,spread,BC Khimki Moscow Oblast U21,2.38,-3.5
